"17-02-2022,16.0,https://i.scdn.co/image/ab67616d0000b273be462dd5903fb27996331b48"
"25-11-2021,7.0,https://i.scdn.co/image/ab67616d0000b273142334e67b095d6aa56655b9"
"26-02-2021,14.0,https://i.scdn.co/image/ab67616d0000b273a408c78e231f716383a58eb3"
"14-10-2021,1.0,https://i.scdn.co/image/ab67616d0000b273a95aa3aaa76f83d4427625ee"
"12-01-2022,1.0,https://i.scdn.co/image/ab67616d0000b273d334f2565a5b3b246c1f05e1"
"17-11-2021,1.0,https://i.scdn.co/image/ab67616d0000b27369ef026d3963eebdcef570a1"
"28-01-2022,17.0,https://i.scdn.co/image/ab67616d0000b2739f6800546cfaaacb3fa4b145"
"17-08-2021,1.0,https://i.scdn.co/image/ab67616d0000b27361d8f01f54a346681218e81f"
"17-03-2022,1.0,https://i.scdn.co/image/ab67616d0000b273b0a748f7a623a17ccab4e311"
"23-03-2022,1.0,https://i.scdn.co/image/ab67616d0000b2737e1179e64539bedc938933ef"
"06-04-2022,1.0,https://i.scdn.co/image/ab67616d0000b273d8c9945c63f1806031dae6f0"
"06-04-2022,2.0,https://i.scdn.co/image/ab67616d0000b273274a28ec692ca28a73da1288"
"21-01-2022,1.0,https://i.scdn.co/image/ab67616d0000b273697ed12671078b5dee48f0ad"
"24-03-2022,1.0,https://i.scdn.co/image/ab67616d0000b273116b57ed14bc15d57eb838fa"
"31-03-2022,1.0,https://i.scdn.co/image/ab67616d0000b273b46f74097655d7f353caab14"
"09-12-2021,14.0,https://i.scdn.co/image/ab67616d0000b273fa17577af2ad7cd6636616f8"
"22-02-2022,1.0,https://i.scdn.co/image/ab67616d0000b2734d647b8989fa65faeeb841f6"
"12-04-2022,15.0,https://i.scdn.co/image/ab67616d0000b27396e2642422ad16661e673fa2"
"10-02-2022,1.0,https://i.scdn.co/image/ab67616d0000b2735ef615c7cdc285d5fbd24003"
